Datetime,Water Level (m)
2024-04-24 00:00:00,-8.501
2024-04-24 01:00:00,-8.501
2024-04-24 02:00:00,-8.501
2024-04-24 03:00:00,-8.501
2024-04-24 04:00:00,-8.501
2024-04-24 05:00:00,-8.501
2024-04-24 06:00:00,-8.501
2024-04-24 07:00:00,-8.501
2024-04-24 08:00:00,-8.501
2024-04-24 09:00:00,-8.501
2024-04-24 10:00:00,-8.501
2024-04-24 11:00:00,-8.501
2024-04-24 12:00:00,-8.501
2024-04-24 13:00:00,-8.501
2024-04-24 14:00:00,-8.501
2024-04-24 15:00:00,-8.501
2024-04-24 16:00:00,-8.501
2024-04-24 17:00:00,0.1567271
2024-04-24 18:00:00,0.13494101
2024-04-24 19:00:00,0.12415296
2024-04-24 20:00:00,0.112131774
2024-04-24 21:00:00,0.106849834
2024-04-24 22:00:00,0.10393499
2024-04-24 23:00:00,0.1007558
2024-04-25 00:00:00,-8.501
2024-04-25 01:00:00,0.162136
2024-04-25 02:00:00,0.16285807
2024-04-25 03:00:00,0.17026863
2024-04-25 04:00:00,0.16650677
2024-04-25 05:00:00,0.15718423
2024-04-25 06:00:00,0.14889699
2024-04-25 07:00:00,0.13664491
2024-04-25 08:00:00,0.12246063
2024-04-25 09:00:00,0.114765175
2024-04-25 10:00:00,0.10985569
2024-04-25 11:00:00,0.103548944
2024-04-25 12:00:00,0.11685169
2024-04-25 13:00:00,0.13683724
2024-04-25 14:00:00,0.1517149
2024-04-25 15:00:00,0.1707853
2024-04-25 16:00:00,0.17974402
2024-04-25 17:00:00,0.18773785
2024-04-25 18:00:00,0.18654566
2024-04-25 19:00:00,0.17997342
2024-04-25 20:00:00,0.1717808
2024-04-25 21:00:00,0.16397017
2024-04-25 22:00:00,0.15985423
2024-04-25 23:00:00,0.16022466
2024-04-26 00:00:00,0.16891885
2024-04-26 01:00:00,0.18144521
2024-04-26 02:00:00,0.19602871
2024-04-26 03:00:00,0.2097206
2024-04-26 04:00:00,0.21666262
2024-04-26 05:00:00,0.21452884
2024-04-26 06:00:00,0.20472346
2024-04-26 07:00:00,0.19093353
2024-04-26 08:00:00,0.17677638
2024-04-26 09:00:00,0.16494332
2024-04-26 10:00:00,0.15676312
2024-04-26 11:00:00,0.1541548
2024-04-26 12:00:00,0.16076665
2024-04-26 13:00:00,0.17711625
2024-04-26 14:00:00,0.19330291
2024-04-26 15:00:00,0.21283823
2024-04-26 16:00:00,0.22663003
2024-04-26 17:00:00,0.2367637
2024-04-26 18:00:00,0.2390543
2024-04-26 19:00:00,0.23516792
2024-04-26 20:00:00,0.22839302
2024-04-26 21:00:00,0.21693403
2024-04-26 22:00:00,0.20795302
2024-04-26 23:00:00,0.20783542
2024-04-27 00:00:00,0.21378578
2024-04-27 01:00:00,0.22363234
2024-04-27 02:00:00,0.23722677
2024-04-27 03:00:00,0.24914885
2024-04-27 04:00:00,0.25364363
2024-04-27 05:00:00,0.25253734
2024-04-27 06:00:00,0.24633558
2024-04-27 07:00:00,0.23652545
2024-04-27 08:00:00,0.22682016
2024-04-27 09:00:00,0.21617629
2024-04-27 10:00:00,0.20556168
2024-04-27 11:00:00,0.2003873
2024-04-27 12:00:00,0.20361538
2024-04-27 13:00:00,0.224256
2024-04-27 14:00:00,0.2422544
2024-04-27 15:00:00,0.2642076
2024-04-27 16:00:00,0.28333327
2024-04-27 17:00:00,0.29686052
2024-04-27 18:00:00,0.30609486
2024-04-27 19:00:00,0.30714807
2024-04-27 20:00:00,0.3019696
2024-04-27 21:00:00,0.29511574
2024-04-27 22:00:00,0.2885266
2024-04-27 23:00:00,0.28599706
2024-04-28 00:00:00,0.2893365
2024-04-28 01:00:00,0.29767314
2024-04-28 02:00:00,0.30932206
2024-04-28 03:00:00,0.32018912
2024-04-28 04:00:00,0.32740363
2024-04-28 05:00:00,0.32973763
2024-04-28 06:00:00,0.32629305
2024-04-28 07:00:00,0.31911325
2024-04-28 08:00:00,0.3089867
2024-04-28 09:00:00,0.29686543
2024-04-28 10:00:00,0.2849938
2024-04-28 11:00:00,0.2744306
2024-04-28 12:00:00,0.26437786
2024-04-28 13:00:00,0.27803668
2024-04-28 14:00:00,0.29737735
2024-04-28 15:00:00,0.31800705
2024-04-28 16:00:00,0.33778647
2024-04-28 17:00:00,0.35540193
2024-04-28 18:00:00,0.36726084
2024-04-28 19:00:00,0.37010017
2024-04-28 20:00:00,0.36648494
2024-04-28 21:00:00,0.35886496
2024-04-28 22:00:00,0.3487179
2024-04-28 23:00:00,0.34056997
2024-04-29 00:00:00,0.3384949
2024-04-29 01:00:00,0.34105584
2024-04-29 02:00:00,0.3493755
2024-04-29 03:00:00,0.35893142
2024-04-29 04:00:00,0.36655992
2024-04-29 05:00:00,0.3688377
2024-04-29 06:00:00,0.36670095
2024-04-29 07:00:00,0.36148596
2024-04-29 08:00:00,0.35288996
2024-04-29 09:00:00,0.34312078
2024-04-29 10:00:00,0.3316941
2024-04-29 11:00:00,0.3195549
2024-04-29 12:00:00,0.31335685
2024-04-29 13:00:00,0.32795516
2024-04-29 14:00:00,0.33588803
2024-04-29 15:00:00,0.35066482
2024-04-29 16:00:00,0.36978614
2024-04-29 17:00:00,0.38559932
2024-04-29 18:00:00,0.396749
2024-04-29 19:00:00,0.40199372
2024-04-29 20:00:00,0.40346506
2024-04-29 21:00:00,0.39933094
2024-04-29 22:00:00,0.39191106
2024-04-29 23:00:00,0.38437206
2024-04-30 00:00:00,0.3783603
